temperature,pressure,vibration,fuel_flow,voltage,speed,brake_pressure,humidity,track_aligned,engine_load,status
50,40,2.0,20,220,70,60,45,1,55,Healthy
48,42,1.8,20,221,68,58,46,1,50,Healthy
49,41,2.5,19,219,69,57,44,1,53,Healthy
50,40,2.0,18,220,70,60,45,1,54,Healthy
47,39,2.1,20,222,66,59,43,1,52,Healthy
46,38,2.2,21,220,75,61,42,1,56,Healthy
49,40,2.0,20,221,67,62,44,1,51,Healthy
48,41,2.0,19,220,65,60,50,1,49,Healthy
47,39,1.9,20,219,64,58,47,1,50,Healthy
51,40,2.4,18,218,72,59,46,1,60,Healthy
50,40,2.0,20,220,70,60,45,1,55,Healthy
48,42,1.8,20,221,68,58,46,1,50,Healthy
49,41,2.5,19,219,69,57,44,1,53,Healthy
50,40,2.0,18,220,70,60,45,1,54,Healthy
47,39,2.1,20,222,66,59,43,1,52,Healthy
46,38,2.2,21,220,75,61,42,1,56,Healthy
49,40,2.0,20,221,67,62,44,1,51,Healthy
48,41,2.0,19,220,65,60,50,1,49,Healthy
47,39,1.9,20,219,64,58,47,1,50,Healthy
51,40,2.4,18,218,72,59,46,1,60,Healthy
50,40,2.0,20,220,70,60,45,1,55,Healthy
48,42,1.8,20,221,68,58,46,1,50,Healthy
49,41,2.5,19,219,69,57,44,1,53,Healthy
50,40,2.0,18,220,70,60,45,1,54,Healthy
47,39,2.1,20,222,66,59,43,1,52,Healthy
46,38,2.2,21,220,75,61,42,1,56,Healthy
49,40,2.0,20,221,67,62,44,1,51,Healthy
48,41,2.0,19,220,65,60,50,1,49,Healthy
47,39,1.9,20,219,64,58,47,1,50,Healthy
51,40,2.4,18,218,72,59,46,1,60,Healthy
50,40,2.0,20,220,70,60,45,1,55,Healthy
48,42,1.8,20,221,68,58,46,1,50,Healthy
49,41,2.5,19,219,69,57,44,1,53,Healthy
50,40,2.0,18,220,70,60,45,1,54,Healthy
47,39,2.1,20,222,66,59,43,1,52,Healthy
46,38,2.2,21,220,75,61,42,1,56,Healthy
49,40,2.0,20,221,67,62,44,1,51,Healthy
48,41,2.0,19,220,65,60,50,1,49,Healthy
47,39,1.9,20,219,64,58,47,1,50,Healthy
51,40,2.4,18,218,72,59,46,1,60,Healthy
50,40,2.0,20,220,70,60,45,1,55,Healthy
48,42,1.8,20,221,68,58,46,1,50,Healthy
49,41,2.5,19,219,69,57,44,1,53,Healthy
50,40,2.0,18,220,70,60,45,1,54,Healthy
47,39,2.1,20,222,66,59,43,1,52,Healthy
46,38,2.2,21,220,75,61,42,1,56,Healthy
49,40,2.0,20,221,67,62,44,1,51,Healthy
48,41,2.0,19,220,65,60,50,1,49,Healthy
47,39,1.9,20,219,64,58,47,1,50,Healthy
51,40,2.4,18,218,72,59,46,1,60,Healthy
50,40,2.0,20,220,70,60,45,1,55,Healthy
48,42,1.8,20,221,68,58,46,1,50,Healthy
49,41,2.5,19,219,69,57,44,1,53,Healthy
50,40,2.0,18,220,70,60,45,1,54,Healthy
47,39,2.1,20,222,66,59,43,1,52,Healthy
46,38,2.2,21,220,75,61,42,1,56,Healthy
49,40,2.0,20,221,67,62,44,1,51,Healthy
48,41,2.0,19,220,65,60,50,1,49,Healthy
47,39,1.9,20,219,64,58,47,1,50,Healthy
51,40,2.4,18,218,72,59,46,1,60,Healthy
50,40,2.0,20,220,70,60,45,1,55,Healthy
48,42,1.8,20,221,68,58,46,1,50,Healthy
49,41,2.5,19,219,69,57,44,1,53,Healthy
50,40,2.0,18,220,70,60,45,1,54,Healthy
47,39,2.1,20,222,66,59,43,1,52,Healthy
46,38,2.2,21,220,75,61,42,1,56,Healthy
49,40,2.0,20,221,67,62,44,1,51,Healthy
48,41,2.0,19,220,65,60,50,1,49,Healthy
47,39,1.9,20,219,64,58,47,1,50,Healthy
51,40,2.4,18,218,72,59,46,1,60,Healthy
50,40,2.0,20,220,70,60,45,1,55,Healthy
48,42,1.8,20,221,68,58,46,1,50,Healthy
49,41,2.5,19,219,69,57,44,1,53,Healthy
50,40,2.0,18,220,70,60,45,1,54,Healthy
47,39,2.1,20,222,66,59,43,1,52,Healthy
46,38,2.2,21,220,75,61,42,1,56,Healthy
49,40,2.0,20,221,67,62,44,1,51,Healthy
48,41,2.0,19,220,65,60,50,1,49,Healthy
47,39,1.9,20,219,64,58,47,1,50,Healthy
51,40,2.4,18,218,72,59,46,1,60,Healthy
50,40,2.0,20,220,70,60,45,1,55,Healthy
48,42,1.8,20,221,68,58,46,1,50,Healthy
49,41,2.5,19,219,69,57,44,1,53,Healthy
50,40,2.0,18,220,70,60,45,1,54,Healthy
47,39,2.1,20,222,66,59,43,1,52,Healthy
46,38,2.2,21,220,75,61,42,1,56,Healthy
49,40,2.0,20,221,67,62,44,1,51,Healthy
48,41,2.0,19,220,65,60,50,1,49,Healthy
47,39,1.9,20,219,64,58,47,1,50,Healthy
51,40,2.4,18,218,72,59,46,1,60,Healthy
50,40,2.0,20,220,70,60,45,1,55,Healthy
48,42,1.8,20,221,68,58,46,1,50,Healthy
49,41,2.5,19,219,69,57,44,1,53,Healthy
50,40,2.0,18,220,70,60,45,1,54,Healthy
47,39,2.1,20,222,66,59,43,1,52,Healthy
46,38,2.2,21,220,75,61,42,1,56,Healthy
49,40,2.0,20,221,67,62,44,1,51,Healthy
48,41,2.0,19,220,65,60,50,1,49,Healthy
47,39,1.9,20,219,64,58,47,1,50,Healthy
51,40,2.4,18,218,72,59,46,1,60,Healthy
50,40,2.0,20,220,70,60,45,1,55,Healthy
48,42,1.8,20,221,68,58,46,1,50,Healthy
49,41,2.5,19,219,69,57,44,1,53,Healthy
50,40,2.0,18,220,70,60,45,1,54,Healthy
47,39,2.1,20,222,66,59,43,1,52,Healthy
46,38,2.2,21,220,75,61,42,1,56,Healthy
49,40,2.0,20,221,67,62,44,1,51,Healthy
48,41,2.0,19,220,65,60,50,1,49,Healthy
47,39,1.9,20,219,64,58,47,1,50,Healthy
51,40,2.4,18,218,72,59,46,1,60,Healthy
50,40,2.0,20,220,70,60,45,1,55,Healthy
48,42,1.8,20,221,68,58,46,1,50,Healthy
49,41,2.5,19,219,69,57,44,1,53,Healthy
50,40,2.0,18,220,70,60,45,1,54,Healthy
47,39,2.1,20,222,66,59,43,1,52,Healthy
46,38,2.2,21,220,75,61,42,1,56,Healthy
49,40,2.0,20,221,67,62,44,1,51,Healthy
48,41,2.0,19,220,65,60,50,1,49,Healthy
47,39,1.9,20,219,64,58,47,1,50,Healthy
51,40,2.4,18,218,72,59,46,1,60,Healthy
50,40,2.0,20,220,70,60,45,1,55,Healthy
48,42,1.8,20,221,68,58,46,1,50,Healthy
